Kingdom	Phylum	Class	Order	Family	Genus	Species	gtdb	kegg	PhaC_status
Bacteria	Firmicutes	Bacilli	Brevibacillales	Brevibacillaceae	Brevibacillus	NA	NA	YES	YES
Bacteria	Firmicutes	Bacilli	RF39	RF39	RF39	NA	NA	NA	Unknown
Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	NA	NA	NA	Unknown
Bacteria	Elusimicrobiota	Elusimicrobia	MVP-88	MVP-88	MVP-88	NA	NA	NA	Unknown
Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	NA	NA	NA	Unknown
Bacteria	FCPU426	FCPU426	FCPU426	FCPU426	FCPU426	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Blastocatellia	DS-100	DS-100	DS-100	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Blastocatellia	11-24	11-24	11-24	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	JGI_0001001-H03	NA	NA	NA	Unknown
Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Genus_of_Blastocatellaceae	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	MSBL3	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA	NA	NA	Unknown
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Genus_of_Verrucomicrobiaceae	NA	NA	NA	Unknown
